all_taxa	Growth.Rate	max_xyl1_estAI	max_xyl2_estAI	max_xyl3_estAI
kregervanrija fluxuum	0	0.916619718309859	0.902535211267606	0.670798122065728
kuraishia capsulata	0.217562796	0.946208442286141	0.554165110197983	0.529884198729922
kuraishia molischiana	0.25353123	0.930827067669173	0.882518796992481	0.55
kuraishia ogatae	0.250078689	0.964265348793005	0.70861053031743	0.667173541151872
kurtzmaniella cleridarum	0.176953225	0.860766961651917	0.447590953785644	0.35653883972468
lachancea cidri	NA	0.891121908127208	0.805212014134276	0.395097173144876
lachancea dasiensis	0	0.80746140651801	0.705831903945112	0.338121783876501
lachancea fantastica	0	0.825105485232068	0.911181434599156	0.25126582278481
lachancea fermentati	0	0.900106723585912	0.602347918890075	0.578868729989328
lachancea kluyveri	0	0.8960436011304	0.796124343964473	0.159870811465482
lachancea lanzarotensis	0	0.86790293040293	0.751373626373626	0.392399267399267
lachancea meyersii	0	0.933022467147096	0.673590504451039	0.395718524798644
lachancea mirantina	0	0.92319342276071	0.762440501947209	0.336650800519256
lachancea nothofagi	0	0.814291649356045	0.788741171582883	0.11882010801828
lachancea quebecensis	NA	0.862494392104083	0.837146702557201	0.494840735755944
lachancea thermotolerans	0	0.919281540792036	0.871456394719758	0.644232850032461
lachancea waltii	0	0.811491712707182	0.973480662983425	0.322430939226519
lipomyces arxii	1.144972613	0.959183673469388	0.937672366243795	0.288334252619967
lipomyces doorenjongii	NA	0.987617815560894	0.979301423027167	0.905932360007392
lipomyces japonicus	1.202911662	0.959197668438196	0.988856506086062	0.126178638779359
lipomyces kononenkoae	NA	0.988585464528247	0.863025574338968	0.489380147377547
lipomyces lipofer	NA	0.970609015119401	0.996184824077999	NA
lipomyces mesembrius	NA	0.99242539009241	0.850477200424178	0.362823814573549
lipomyces oligophaga	NA	0.680726205758298	0.981478085457546	0.221896203924445
lipomyces starkeyi	1.046347267	0.978266395526182	0.900737163192679	0.422724961870869
lipomyces suomiensis	NA	0.976329331046312	0.920068610634648	0.585934819897084
lodderomyces elongisporus	0	NA	0.857020730925411	0.754862150032058
magnusiomyces tetrasperma	0	NA	0.867566865749156	0.0977668138145936
martiniozyma abiesophila	0	NA	NA	NA
metschnikowia aberdeeniae	0.519784198	0.941048034934498	0.89585152838428	0.813755458515284
metschnikowia arizonensis	NA	0.960139318885449	0.904024767801858	0.894156346749226
metschnikowia bicuspidata	0	0.86456400742115	0.786435786435786	0.603380746237889
metschnikowia borealis	0.701329033	0.975289169295478	0.924815983175605	0.763406940063092
metschnikowia bowlesiae	0	0.962962962962963	0.945308002302821	0.691421991940127
metschnikowia cerradonensis	0.732856565	0.967413793103448	0.948793103448276	0.8
metschnikowia continentalis	0.394420359	0.965594744121715	0.951936376210235	0.76573305670816
metschnikowia dekortum	0	0.95332532051282	0.888020833333333	0.79286858974359
metschnikowia drakensbergensis	0	0.923497267759563	0.865279529213955	0.692728036990332
metschnikowia hamakuensis	0.324586223	0.966383517079342	0.927345020784385	0.864630399421652
metschnikowia hawaiiensis	0.441732364	0.965863453815261	0.9390288426433	0.866192040890836
metschnikowia hibisci	0.431284169	0.966859983429992	0.949047224523612	0.859154929577465
metschnikowia ipomoeae	NA	0.967204104067424	0.95071454745328	0.830890436057164
metschnikowia kamakouana	NA	0.955628121398386	0.934690741452171	0.86611601997695
metschnikowia kipukae	0	0.953696013289037	0.883513289036545	0.613164451827243
metschnikowia lockheadii	0.710995601	0.968842989672676	0.932959915981096	0.671100997724488
metschnikowia matae	1.077972967	0.965425971877585	0.938461538461538	0.752522746071133
metschnikowia matae maris	0.392960435	0.966046887631366	0.925788197251415	0.76928051738076
metschnikowia mauinuiana	NA	0.964200913242009	0.928219178082192	0.858812785388128
metschnikowia proteae	0	0.922397864914802	0.850544036132211	0.747690412646274
metschnikowia santaceciliae	NA	0.971870604781997	0.940225035161744	0.845815752461322
metschnikowia shivogae	0.282336899	0.981700753498385	0.801291711517761	0.769860064585576
metschnikowia similis	0.227538067	0.96871945259042	0.910654936461388	0.665884652981427
meyerozyma caribbica	0.369100472	0.954280964256027	0.750207813798836	0.789900249376559
meyerozyma guilliermondii	NA	0.972473023563092	0.819863466196873	0.773618145782867
middelhovenomyces tepae	1.300924713	NA	NA	NA
millerozyma acaciae	0.070625666	0.839648897452366	0.882252194390923	0.413401841147506
nadsonia fulvescens	NA	0.875984612566404	0.837882396043231	0.433779080417659
nakaseomyces bacillisporus	0	0.944492816717458	NA	0.367435785807575
nakaseomyces bracarensis	0	0.9292159614999	NA	0.254662121515941
nakaseomyces castellii	0	0.947061462539255	NA	0.617765814266487
nakaseomyces delphensis	0	0.887214898514334	NA	0.436283741368487
nakaseomyces nivariensis	0	0.964912280701754	NA	0.409424724602203
nakazawaea holstii	0	0.975158562367865	0.825757575757576	0.811486962649753
nakazawaea peltata	0.457573847	0.993159794793844	0.92057761732852	0.583127493824815
naumovozyma castellii	0	0.917476691132712	0.765522713747272	0.505653640150764
