all_taxa	xyl1	xyl2	xyl3	tkl1	tal1	PU.	Growth.Rate	phylo_order
hanseniaspora pseudoguilliermondii	0.922858302882663	NA	NA	0.959038508707383	0.983962647178238	35695	0	168
hanseniaspora clermontiae	0.937346711259755	NA	NA	0.964142427281846	0.9839518555667	34963	0	169
hanseniaspora uvarum	NA	NA	NA	NA	NA	NA	NA	170
hanseniaspora valbyensis	0.929790866410585	NA	NA	0.975331201461855	0.96345363179534	34955	0	171
hanseniaspora singularis	0.866991473812424	NA	NA	0.959038508707383	0.973755212165808	35696	0	172
yueomyces sinensis	NA	NA	NA	NA	NA	NA	NA	173
tetrapisispora blattae	NA	NA	NA	NA	NA	NA	NA	174
vanderwaltozyma polyspora	NA	0.980340063761955	0.490218380345769	0.942082890541977	0.990900818926297	34869	0	175
tetrapisispora iriomotensis	0.912421630094044	NA	0.57641065830721	0.970415360501567	0.990791536050157	34876	0	176
tetrapisispora phaffii	0.954476766150359	NA	0.527767283717416	0.965243672081602	0.993577635058557	34580	0	177
tetrapisispora fleetii	0.852502553626149	NA	NA	0.96976506639428	0.96533633127225	34875	0	178
tetrapisispora namnaonensis	0.857373411337503	NA	NA	0.614262884538554	0.987492434940488	34877	0	179
candida castellii	0.945715567519067	NA	0.784208165096456	0.939759036144578	0.995737999102737	34724	0	180
nakaseomyces bacillisporus	0.944710491946017	NA	0.515490705576654	0.967419548271037	0.989986939486286	35666	0	181
candida glabrata	0.945529290853032	NA	0.696207506386323	0.979650565262076	0.991161356628983	34723	0	182
candida bracarensis	0.948619139370585	NA	0.513166345536288	0.979019481909655	0.986966111890916	34725	0	183
nakaseomyces delphensis	0.889098137685708	NA	0.61711139347734	0.973843900397573	0.995396526469973	26127	0	184
candida nivariensis	0.965524275805794	NA	0.420032639738882	0.976948184414525	0.990208078335373	34720	0	185
saccharomyces eubayanus	NA	NA	NA	NA	NA	NA	NA	186
saccharomyces uvarum	NA	NA	NA	NA	NA	NA	NA	187
saccharomyces arboricola	NA	NA	NA	NA	NA	NA	NA	188
saccharomyces kudriavzevii	NA	NA	NA	NA	NA	NA	NA	189
saccharomyces mikatae	NA	NA	NA	NA	NA	NA	NA	190
saccharomyces cerevisiae	NA	NA	NA	NA	NA	NA	NA	191
saccharomyces paradoxus	NA	NA	NA	NA	NA	NA	NA	192
kazachstania rosinii	NA	NA	NA	NA	NA	NA	NA	193
kazachstania spencerorum	0.872646498836471	NA	0.336154008885128	0.964036386714618	0.982018193357309	40968	0	194
kazachstania kunashirensis	0.883850069412309	NA	0.510911686722415	0.967774831735672	0.975474317445627	40973	0	195
kazachstania turicensis	NA	NA	NA	NA	NA	NA	NA	196
kazachstania viticola	NA	NA	NA	NA	NA	NA	NA	197
kazachstania africana	NA	NA	NA	NA	NA	NA	NA	198
kazachstania martiniae	0.905875417567302	NA	0.696207506386323	0.757880910683012	0.987030850854785	40994	0	199
kazachstania intestinalis	0.948619139370585	NA	0.714391143911439	0.979019481909655	0.977121771217712	40982	0	200
kazachstania bromeliacearum	0.933186893648179	NA	0.912685337726524	0.775581182500458	0.98348623853211	40997	0	201
kazachstania naganishii	0.946387911405506	NA	0.496170565100393	0.968743531359967	0.983233285034154	41000	0	202
kazachstania taianensis	NA	NA	NA	NA	NA	NA	NA	203
kazachstania yakushimaensis	NA	NA	NA	NA	NA	NA	NA	204
kazachstania transvaalensis	0.93582578531509	NA	0.545769897860859	0.970321834650222	0.975474317445627	40967	0	205
kazachstania siamensis	0.96005486027773	NA	0.496170565100393	0.968743531359967	0.995199725698611	40987	0	206
kazachstania unispora	0.940944104285996	NA	0.504444005530318	0.955362433339917	0.988346829942722	40995	0	207
kazachstania aerobia	0.966386554621849	NA	0.526608910891089	0.957787766269298	0.977310231023102	40977	0	208
kazachstania solicola	0.974565493853328	NA	0.545769897860859	0.987847958174368	0.998445669068814	40972	0	209
naumovozyma castellii	0.934971098265896	0.767308073794882	0.262646300337235	0.974814203137903	0.983691164327002	34871	0	210
naumovozyma dairenensis	NA	NA	NA	NA	NA	NA	NA	211
zygosaccharomyces rouxii	0.967894027840144	0.848822539949537	0.550516389762012	0.965424337674001	0.994533221194281	34863	0	212
zygosaccharomyces kombuchaensis	0.949881796690307	NA	0.653900709219858	0.945671378091873	0.980851063829787	34865	0	213
zygosaccharomyces bailii	NA	NA	NA	NA	NA	NA	NA	214
zygosaccharomyces bisporus	0.926261026916987	0.956344718389505	0.637864736484958	0.977801494130203	0.986339381003202	34866	0	215
zygotorulaspora mrakii	0.945560017849174	0.899375278893351	0.682921245421245	0.939759036144578	0.995421245421245	26256	0	216
zygotorulaspora florentina	0.926261026916987	0.956344718389505	0.637864736484958	0.92060619769283	0.990996784565916	34862	0	217
torulaspora microellipsoides	0.949881796690307	NA	0.653900709219858	0.967419548271037	0.985208874675195	35651	0	218
torulaspora maleeae	0.974508375819374	0.877475817595578	0.761860893597421	0.976047904191617	0.995144452537024	35652	0	219
torulaspora delbrueckii	0.893823173193379	0.877475817595578	0.761860893597421	0.976047904191617	0.992531287848203	35653	0	220
torulaspora pretoriensis	0.816353591160221	NA	0.523314917127072	0.961751662971175	0.992486187845304	34881	0	221
torulaspora franciscae	0.94259882253995	0.848822539949537	0.478973927670311	0.964950237992211	0.994533221194281	26152	0	222
lachancea kluyveri	0.921012767799178	0.869508764336724	0.657866262713698	0.956286518069682	0.992531287848203	34694	0	223
lachancea cidri	NA	NA	NA	NA	NA	NA	NA	224
lachancea fermentati	0.975389069851611	0.708288092652913	0.583991462113127	0.977801494130203	0.992037640246109	34695	0	225
lachancea mirantina	0.926438771094764	NA	0.32032590051458	0.964950237992211	0.987234963219386	34691	0	226
lachancea waltii	0.816353591160221	NA	0.523314917127072	0.961778147071043	0.992486187845304	26219	0	227
lachancea thermotolerans	0.921012767799178	0.909493670886076	0.657866262713698	0.967510548523207	0.990911058212508	34678	0	228
lachancea quebecensis	NA	NA	NA	NA	NA	NA	NA	229
lachancea nothofagi	0.93061961098857	0.785625259659327	0.242430318828955	0.976137958692601	0.986966111890916	34690	0	230
lachancea dasiensis	0.945529290853032	0.702830188679245	0.32032590051458	0.979650565262076	0.991161356628983	34697	0	231
lachancea meyersii	0.932598558711318	0.669987282746927	0.432726511822557	0.973843900397573	0.995396526469973	34692	0	232
lachancea lanzarotensis	0.948998801985282	0.746565934065934	0.347298534798535	0.961767399267399	0.991956186890296	34693	0	233
lachancea fantastica_nom_nud	0.965524275805794	0.909493670886076	0.420032639738882	0.976948184414525	0.990208078335373	34696	0	234
kluyveromyces aestuarii	0.992645706931421	0.982165839308696	0.754550468836183	0.944334867411791	0.996506710792425	34709	0	235
kluyveromyces marxianus	0.983415508740475	0.758628417749888	0.921559838637382	0.967055132227701	0.992828328103989	34713	0	236
kluyveromyces dobzhanskii	0.924833082059014	0.760284298944648	0.78041958041958	0.978741258741259	0.989090909090909	34710	0	237
kluyveromyces lactis	0.939317319848293	0.818162663295407	0.721181397399162	0.966718095657924	0.987147071217868	34712	0	238
eremothecium cymbalariae	NA	NA	NA	NA	NA	NA	NA	239
ashbya aceri	NA	NA	NA	NA	NA	NA	NA	240
eremothecium gossypii	NA	NA	NA	NA	NA	NA	NA	241
eremothecium sinecaudum	NA	NA	NA	NA	NA	NA	NA	242
eremothecium coryli	NA	NA	NA	NA	NA	NA	NA	243
candida ponderosae	NA	NA	NA	NA	NA	NA	NA	244
starmera quercuum	0.966790352504638	0.859750587384782	0.641062714621363	0.965660581962769	0.986456400742115	34594	0	245
candida stellimalicola	NA	NA	NA	NA	NA	NA	NA	246
starmera amethionina	NA	NA	NA	NA	NA	NA	NA	247
wickerhamomyces anomalus	0.94335589597435	0.861239757748486	0.724307796840496	0.968914557499575	0.995073891625616	35273	0	248
wickerhamomyces ciferrii	0.970040189989039	0.823164048227987	0.75933762649494	0.952868103763244	0.999264029438822	35269	0	249
wickerhamomyces bovis	0.970040189989039	0.823164048227987	0.316770186335404	0.963172288058341	0.985961713764813	35271	0.204896106	250
barnettozyma hawaiiensis	0.968265682656827	0.826454402515723	0.678044280442804	0.939465408805031	0.990405904059041	35045	0.468311588	251
barnettozyma populi	0.933055975794251	0.8776217399234	0.59875980302754	0.963341236549334	0.991428050337407	35046	0.941113457	252
barnettozyma californica	0.92328969205237	NA	0.656615497076023	0.946524064171123	0.995205605753273	35044	0.624399523	253
candida montana	0.961411850768105	0.849418084153984	0.429407461594733	0.963240673006584	0.996777081468218	35037	0	254
